dataset,mu_size,nu_size,cost,time,iterations,error,status,name,wasserstein_distance,kl_divergence,ssim,delta_e,colorfulness_diff,gradient_correlation,laplacian_sharpness_diff
a1499-dvf_075.jpg -> a1250-kme_041.jpg,1119,1119,0.30167597039540983,143.77075899392366,,3.7252903e-09,success,simplex,0.09039396871951857,1.4358811,0.42255352601698903,32.83808580321533,0.020559592669621596,0.38312602676892693,1314.3239151836342
a3024-07-08-11-at-16h35m32s-N0000142.jpg -> a2140-dgw_021.jpg,709,456,0.6159665684547296,48.749894835054874,,7.450581e-09,success,simplex,0.051603289926237784,0.882814,0.3399092232698748,20.74102901964376,0.016711770150385746,0.19360426376414136,2460.5811131575933
a4288-DSC_0137.jpg -> a0457-NKIM_099.jpg,1469,893,0.37428897625119295,134.44744143635035,,2.9802322e-08,success,simplex,0.0661754704346686,1.1512859,0.31158442789722346,42.16139349823758,0.016845860667400292,0.20131304932897082,6365.008921645922
