dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,tol
3D-students-4df-16p,4096,4096,143.6781445616591,10000,5.6179607318629365e-05,0.38529486757488907,seconds,6.328033685684204,6.225359700620174,megabytes,1060.0,1060.0,99.0,95.84615384615384,0.31120179200000003,0.31120179200000003,0.81171875,0.762019230769231,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.68872588234393,10000,5.9109789831701676e-05,0.16463081238112248,seconds,6.286763906478882,6.214272668585181,megabytes,1060.0,1060.0,99.0,93.92592592592592,0.313982976,0.313982976,0.80859375,0.7672453703703704,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.67713161922438,10000,5.3519600692553126e-05,0.16716302834969443,seconds,6.327828884124756,6.231721686199307,megabytes,1060.0,1060.0,99.0,95.81481481481481,0.313872384,0.313872384,0.8015625,0.7621817129629628,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.68977201800422,10000,5.8678379817767023e-05,0.17185878121817366,seconds,6.276029109954834,6.220407127402723,megabytes,1060.0,1060.0,99.0,93.42307692307692,0.313843712,0.313843712,0.803125,0.7688100961538462,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.74595497439907,10000,6.724964030402347e-05,0.07896195719197376,seconds,6.232025146484375,6.223078954033554,megabytes,1060.0,1060.0,99.0,93.11538461538461,0.313806848,0.313806848,0.815625,0.7766826923076923,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.70284425743887,10000,6.275989520654335e-05,0.16851610552270122,seconds,6.294240236282349,6.229729562066495,megabytes,1060.0,1060.0,99.0,94.34615384615384,0.313798656,0.313798656,0.81796875,0.7794771634615383,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.685325002125,10000,5.625556186972247e-05,0.6480892143109098,seconds,6.322314977645874,6.228608814068139,megabytes,1060.0,1060.0,99.0,94.26923076923077,0.31370854400000003,0.31370854400000003,0.81015625,0.7705829326923078,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.67252998595922,10000,5.4328666894587485e-05,0.2173129793968881,seconds,6.337180852890015,6.237452080473304,megabytes,1060.0,1060.0,99.0,94.6923076923077,0.313679872,0.313679872,0.79609375,0.7586838942307691,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.6917229730487,10000,5.879292844790385e-05,0.19300043407282375,seconds,6.267841339111328,6.232436924241483,megabytes,1060.0,1060.0,99.0,95.1923076923077,0.313745408,0.313745408,0.8015625,0.7698617788461538,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.66902807678315,10000,5.3925461730663926e-05,0.19800394143464747,seconds,6.272037506103516,6.230670599266887,megabytes,1060.0,1060.0,99.0,94.92307692307692,0.313696256,0.313696256,0.815625,0.7735877403846152,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.70544676737472,10000,6.427823582999537e-05,0.6810656625205604,seconds,6.449375629425049,6.224222844466567,megabytes,1060.0,1060.0,99.0,94.62962962962963,0.31358976,0.31358976,0.8140625,0.7535879629629628,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.69223815432395,10000,5.685772646168985e-05,9.902703133230826,seconds,6.41773247718811,6.222430140711367,megabytes,1060.0,1060.0,99.0,96.5925925925926,0.314810368,0.314810368,0.8171875,0.7508391203703704,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.67251956481,10000,5.486233611096125e-05,0.08544028231389135,seconds,6.23831033706665,6.225493730977178,megabytes,1060.0,1060.0,99.0,95.84615384615384,0.31368396800000004,0.31368396800000004,0.79609375,0.778575721153846,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.67431826170204,10000,5.240053710364734e-05,13.38065039274926,seconds,6.3609185218811035,6.228518846444786,megabytes,1060.0,1060.0,99.0,93.66666666666667,0.313696256,0.313696256,0.80234375,0.756886574074074,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.67895038776868,10000,5.419681068108417e-05,1.8099350603002067,seconds,6.356132745742798,6.2338754422962666,megabytes,1060.0,1060.0,99.0,96.11111111111111,0.31368396800000004,0.31368396800000004,0.8078125,0.7665219907407407,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.6852495140123,10000,5.675171015484537e-05,0.2036486873706455,seconds,6.2426371574401855,6.225167980417609,megabytes,1060.0,1060.0,99.0,93.22222222222223,0.31363481600000004,0.31363481600000004,0.809375,0.7754340277777777,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.67418826123173,10000,5.2182959639601734e-05,1.0001817505366808,seconds,6.346807956695557,6.2259046994149685,megabytes,1060.0,1060.0,99.0,94.77777777777777,0.31366348800000005,0.31366348800000005,0.80625,0.7620659722222223,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.69890540495888,10000,6.191750205841728e-05,0.12597393205907242,seconds,6.326618194580078,6.231479898095131,megabytes,1060.0,1060.0,99.0,96.0,0.31366348800000005,0.31366348800000005,0.80625,0.7654224537037039,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.67768599215677,10000,5.61734341966158e-05,0.36456599432575093,seconds,6.374902009963989,6.229405842721462,megabytes,1060.0,1060.0,99.0,94.11111111111111,0.313622528,0.313622528,0.81328125,0.7587962962962962,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.680495414083,10000,5.675193401089018e-05,2.7169624855160794,seconds,6.395273685455322,6.22827270347625,megabytes,1060.0,1060.0,99.0,93.70370370370371,0.31469568000000003,0.31469568000000003,0.79453125,0.750752314814815,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.68068865782226,10000,5.218718987887172e-05,2.717661334748301,seconds,6.2976179122924805,6.228719672188163,megabytes,1060.0,1060.0,99.0,96.64285714285714,0.31367168,0.31367168,0.8125,0.7677734374999999,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.68139714386476,10000,5.5853195958022184e-05,0.3230605274096373,seconds,6.378634214401245,6.233299111016095,megabytes,1060.0,1060.0,99.0,96.75,0.313638912,0.313638912,0.81015625,0.7602678571428569,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.71208648904792,10000,6.392180874126296e-05,0.056276725624200115,seconds,6.2622644901275635,6.226029437966645,megabytes,1060.0,1060.0,99.0,95.4074074074074,0.3136512,0.3136512,0.8,0.7672453703703703,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.6875163582244,10000,5.486052622805104e-05,1.0679776299233215,seconds,6.3296120166778564,6.218616885133088,megabytes,1060.0,1060.0,99.0,94.4074074074074,0.31371264000000004,0.31371264000000004,0.803125,0.7618634259259258,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.68948519008865,10000,5.551485941124312e-05,8.018459815091083,seconds,6.359612464904785,6.231045762076974,megabytes,1060.0,1060.0,99.0,94.88888888888889,0.313716736,0.313716736,0.81640625,0.7611400462962963,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.68551068231363,10000,5.694900315456053e-05,0.8001513573291182,seconds,6.321743965148926,6.226246178150177,megabytes,1060.0,1060.0,99.0,96.28571428571429,0.3137536,0.3137536,0.81171875,0.7679408482142858,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.68522898786946,10000,5.699131610947816e-05,0.7072210123654841,seconds,6.342696905136108,6.242075671441853,megabytes,1060.0,1060.0,99.0,94.48148148148148,0.31370854400000003,0.31370854400000003,0.8109375,0.7717881944444445,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.69241113825763,10000,5.788733576705951e-05,0.3093710782723605,seconds,6.406831979751587,6.227152679115534,megabytes,1060.0,1060.0,99.0,93.92857142857143,0.314884096,0.314884096,0.8046875,0.7491071428571429,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-16p,4096,4096,143.679319856284,10000,5.396696944703905e-05,0.6358082618546607,seconds,6.242778301239014,6.229536512866616,megabytes,1060.0,1060.0,99.0,93.61538461538461,0.313745408,0.313745408,0.8140625,0.7752403846153846,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-24p,13824,13824,493.12740235706315,10000,5.1755370971573456e-05,1.1399353192162616,seconds,59.70722270011902,59.55300304479897,megabytes,6382.0,6382.0,100.0,99.74596774193549,0.3724288,0.3724288,0.828125,0.77685546875,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-24p,13824,13824,493.1349374022069,10000,5.249179725330677e-05,3.069790264803039,seconds,59.4690101146698,59.42861408740282,megabytes,6382.0,6382.0,100.0,99.79508196721312,0.37302681600000004,0.37302681600000004,0.81640625,0.7806128329918034,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-24p,13824,13824,493.13125659617265,10000,5.0944692846499606e-05,3.069383917803121,seconds,59.58744812011719,59.45494639966637,megabytes,6382.0,6382.0,100.0,99.71666666666667,0.36897996800000005,0.36897996800000005,0.81875,0.7771386718749999,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-24p,13824,13824,493.13299308015024,10000,5.210576219294438e-05,3.0540716789600837,seconds,59.683167695999146,59.50422375276685,megabytes,6382.0,6382.0,100.0,99.68487394957984,0.369954816,0.369954816,0.83515625,0.7777868960084034,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-24p,13824,13824,493.14739524132284,10000,5.2942690899726585e-05,2.1966207010335626,seconds,59.505712032318115,59.512678219005466,megabytes,6382.0,6382.0,100.0,99.71548117154812,0.36878336,0.36878336,0.8171875,0.7787460774058576,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-24p,13824,13824,493.13257421698563,10000,5.203084977134509e-05,3.1177326748618035,seconds,59.76368498802185,59.63011216651648,megabytes,6382.0,6382.0,100.0,99.84710743801652,0.369160192,0.369160192,0.8171875,0.7772791838842976,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-24p,13824,13824,493.1318122751062,10000,5.173123362567367e-05,4.711508708895695,seconds,59.59894871711731,59.42285115737468,megabytes,6382.0,6382.0,100.0,99.7125,0.36952064,0.36952064,0.8328125,0.7771223958333334,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-24p,13824,13824,493.1268271237521,10000,5.119025183475401e-05,1.7401642930854588,seconds,59.76674461364746,59.599401880055666,megabytes,6382.0,6382.0,100.0,99.64730290456431,0.369614848,0.369614848,0.83984375,0.7760341026970949,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-24p,13824,13824,493.1283298639755,10000,5.143407820451529e-05,1.776989476658883,seconds,59.724498987197876,59.58295551966876,megabytes,6382.0,6382.0,100.0,99.78423236514523,0.368779264,0.368779264,0.82109375,0.7776646784232367,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-24p,13824,13824,493.12232492612293,10000,5.104476666950575e-05,1.8328063904159266,seconds,59.60257649421692,59.407307552173734,megabytes,6382.0,6382.0,100.0,99.78991596638656,0.36907008,0.36907008,0.82890625,0.7760537027310925,success,gradient-ascent,1.0,10000,1e-06
3D-students-4df-24p,13824,13824,493.1382970306943,10000,5.279427684357074e-05,4.912162735306648,seconds,59.47587537765503,59.38019307795912,megabytes,6382.0,6382.0,100.0,99.65975103734439,0.368758784,0.368758784,0.8171875,0.7777943464730294,success,gradient-ascent,1.0,10000,1e-06
