dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,exception
3D-gen-hyperb-mixture-2c-16p,4096,4096,1.084752423827351,11,9.54505433458661e-17,seconds,0.3630332946777344,0.02149813435971737,megabytes,800.0,800.0,4.0,4.0,0.021491712,0.021491712,0.0234375,0.0234375,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,1.1974634093709697,11,1.2969880091786048e-16,seconds,0.308258056640625,0.02184480056166649,megabytes,800.0,800.0,4.0,4.0,0.021532672000000003,0.021532672000000003,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,1.3598379138402084,11,1.4349180584472538e-16,seconds,0.0,0.018000870011746883,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,1.1634195974396178,11,1.5239520710957725e-16,seconds,0.22645998001098633,0.07272062078118324,megabytes,800.0,800.0,2.0,2.0,0.019677184,0.019677184,0.08046875,0.08046875,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.7008803504651493,11,2.7956757446189216e-16,seconds,0.0,0.02022903598845005,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,1.0403112674453117,11,9.1260635517332e-17,seconds,0.23711776733398438,0.07467352226376534,megabytes,800.0,800.0,2.0,2.0,0.019701760000000002,0.019701760000000002,0.0390625,0.0390625,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,1.467088783329709,11,1.5280401858164824e-16,seconds,0.3081028461456299,0.022830129601061344,megabytes,800.0,800.0,4.0,4.0,0.021413888000000002,0.021413888000000002,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.5672367798057832,11,9.032988164744543e-17,seconds,0.22637033462524414,0.019278336316347122,megabytes,800.0,800.0,4.0,4.0,0.021417984,0.021417984,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.66406045654268,11,1.0746707526241126e-16,seconds,0.0,0.015071042813360691,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.873215477316111,11,2.2546140298033076e-16,seconds,0.36830735206604004,0.025527143850922585,megabytes,800.0,800.0,1.0,1.0,0.02158592,0.02158592,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,1.2975645208018296,11,1.7278457182760239e-16,seconds,0.23856520652770996,0.08024276699870825,megabytes,800.0,800.0,2.0,2.0,0.019632128000000002,0.019632128000000002,0.03984375,0.03984375,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.8781917459711819,11,1.150094989673374e-16,seconds,0.0,0.009825305081903934,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.6344243403284116,11,5.3835267922973035e-17,seconds,1.2599754333496094,1.1719924444332719,megabytes,6504.0,6504.0,24.0,5.4,0.052269056,0.08746598400000001,0.6875,0.358125,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.7535105564701303,11,1.2006372409021576e-16,seconds,0.3097095489501953,0.0759947495535016,megabytes,2132.0,2132.0,51.0,51.0,0.021843968000000002,0.021843968000000002,0.1390625,0.1390625,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.7704432876635992,11,7.370215031885013e-17,seconds,0.31470370292663574,0.15874778013676405,megabytes,2130.0,2130.0,27.0,27.0,0.021811200000000003,0.021811200000000003,0.1359375,0.1359375,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.6559297649729605,11,1.009203901371372e-16,seconds,0.28485822677612305,0.13521090056747198,megabytes,2132.0,2132.0,24.0,24.0,0.02199552,0.02199552,0.1265625,0.1265625,success,sinkhorn-normed,1.0,1000000,
