dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,cost_normed,cost_diff
3D-gen-hyperb-mixture-2c-16p,4096,4096,1.0257278545929351,11,2.4659870709804706e-16,seconds,0.0,0.00963309034705162,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gen-hyperb-mixture-2c-16p,4096,4096,1.3374451649506722,11,1.5643085821565087e-16,seconds,0.0,0.009731968864798546,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gen-hyperb-mixture-2c-16p,4096,4096,1.0722257970836446,11,8.315128350389827e-17,seconds,0.0,0.010347096249461174,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.6912422993227079,11,1.3918491723232342e-16,seconds,0.0,0.010141883045434952,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.9563877695541392,11,9.236751842942219e-17,seconds,0.0,0.009505089372396469,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gen-hyperb-mixture-2c-16p,4096,4096,1.3064781348913364,11,1.6796936265476077e-16,seconds,0.0,0.011851746588945389,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.5474667648613984,11,8.286689812397382e-17,seconds,0.0,0.00966210849583149,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.6509079914214875,11,7.217217376033026e-17,seconds,0.3916647434234619,0.25081579200923443,megabytes,800.0,800.0,2.0,2.0,0.033665024,0.033665024,0.04296875,0.04296875,success,sinkhorn-normed,1.0,1000000,,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.7416149131386495,11,1.3069938723548912e-16,seconds,0.0,0.009648982435464859,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gen-hyperb-mixture-2c-16p,4096,4096,1.2363659078746065,11,2.25088623378915e-16,seconds,0.0,0.009562596678733826,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.8456958006641813,11,8.610841987673636e-17,seconds,0.0,0.009667020291090012,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
