dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name
3D-cauchy-vs-gaussian-16p,4096,4096,0.8905829889777258,,8.348356728138384e-17,seconds,2.353644371032715,2.226712556555867,megabytes,670.0,670.0,1.0,0.09090909090909091,0.850583552,0.850583552,0.796875,0.730752840909091,success,lp
3D-cauchy-vs-gaussian-16p,4096,4096,0.7811994874641657,,8.790169113426227e-17,seconds,6.072602272033691,5.921525176614523,megabytes,670.0,670.0,1.0,0.038461538461538464,0.782749696,0.782749696,0.81640625,0.7634615384615384,success,lp
3D-cauchy-vs-gaussian-16p,4096,4096,0.4012062696855165,,1.1709383462843448e-16,seconds,4.116076231002808,4.105944095179439,megabytes,670.0,670.0,1.0,0.05555555555555555,0.8142848,0.8142848,0.82578125,0.7733506944444444,success,lp
3D-cauchy-vs-gaussian-16p,4096,4096,0.6779023878021959,,7.806255641895632e-18,seconds,2.861483573913574,2.801552264019847,megabytes,670.0,670.0,1.0,0.08333333333333333,0.8246190080000001,0.8246190080000001,0.8140625,0.7692057291666665,success,lp
3D-cauchy-vs-gaussian-16p,4096,4096,1.3185543589419697,,7.470152968425126e-17,seconds,3.0150156021118164,2.9451104141771793,megabytes,670.0,670.0,1.0,0.07692307692307693,0.830918656,0.830918656,0.8046875,0.7607572115384615,success,lp
3D-cauchy-vs-gaussian-16p,4096,4096,0.3229445105247303,,3.69712940817557e-17,seconds,4.573318243026733,4.541239021345973,megabytes,670.0,670.0,1.0,0.047619047619047616,0.818417664,0.818417664,0.80625,0.7763020833333333,success,lp
3D-cauchy-vs-gaussian-16p,4096,4096,1.1280953151849122,,2.3201926491189795e-17,seconds,2.586397171020508,2.5151978582143784,megabytes,670.0,670.0,1.0,0.08333333333333333,0.835231744,0.835231744,0.79375,0.7547526041666667,success,lp
3D-cauchy-vs-gaussian-16p,4096,4096,0.49117900973794154,,8.782037597132586e-18,seconds,5.090320110321045,5.1039209347218275,megabytes,670.0,670.0,1.0,0.045454545454545456,0.812118016,0.812118016,0.8109375,0.7824928977272726,success,lp
3D-cauchy-vs-gaussian-16p,4096,4096,0.21826135555215911,,1.0110185258427329e-16,seconds,5.340908527374268,5.318673623725772,megabytes,670.0,670.0,1.0,0.038461538461538464,0.8246599680000001,0.8246599680000001,0.8109375,0.7775841346153847,success,lp
3D-cauchy-vs-gaussian-16p,4096,4096,1.2745515744999132,,0.00019206113529858255,seconds,2.549956798553467,2.544877814128995,megabytes,670.0,670.0,1.0,0.08333333333333333,0.8141455360000001,0.8141455360000001,0.79765625,0.7797526041666667,success,lp
3D-cauchy-vs-gaussian-16p,4096,4096,1.6615776126104758,,0.0001892400611085913,seconds,2.8489723205566406,2.7415899466723204,megabytes,670.0,670.0,1.0,0.09090909090909091,0.830947328,0.830947328,0.7953125,0.740340909090909,success,lp
3D-cauchy-vs-gaussian-16p,4096,4096,0.6830465004592672,,1.5265566588595902e-16,seconds,3.2860147953033447,3.1283046901226044,megabytes,670.0,670.0,1.0,0.07142857142857142,0.8036843520000001,0.8036843520000001,0.83203125,0.7351004464285714,success,lp
3D-cauchy-vs-gaussian-16p,4096,4096,0.6657540668566472,,1.0844732230286258e-16,seconds,3.1360979080200195,2.9645349718630314,megabytes,670.0,670.0,1.0,0.07692307692307693,0.79118336,0.79118336,0.81328125,0.7334735576923077,success,lp
3D-cauchy-vs-gaussian-16p,4096,4096,0.3939625708229482,,6.906367838732663e-17,seconds,3.7227256298065186,3.59242407605052,megabytes,670.0,670.0,1.0,0.0625,0.7954759680000001,0.7954759680000001,0.815625,0.7416503906249999,success,lp
3D-cauchy-vs-gaussian-16p,4096,4096,0.2581969439377119,,4.7244109666055856e-17,seconds,3.413808584213257,3.4138260278850794,megabytes,670.0,670.0,1.0,0.06666666666666667,0.812269568,0.812269568,0.8078125,0.7825520833333334,success,lp
