dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,cost_normed,cost_diff
3D-gaussian-2c-16p,4096,4096,0.3401871152730692,11,1.5019719732852591e-16,seconds,0.0,0.009261306375265121,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gaussian-2c-16p,4096,4096,0.6222475281941429,11,1.8708519787815376e-16,seconds,0.0,0.00932266004383564,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gaussian-2c-16p,4096,4096,0.9456516293484535,11,2.1174624131582837e-16,seconds,0.0,0.009271888062357903,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gaussian-2c-16p,4096,4096,0.9562404584644097,11,1.0088626134125059e-16,seconds,0.2001485824584961,0.009316157549619675,megabytes,800.0,800.0,4.0,4.0,0.23232512000000002,0.23232512000000002,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gaussian-2c-16p,4096,4096,0.5191074693687392,11,1.5179208142971395e-16,seconds,0.20212054252624512,0.009552834555506706,megabytes,800.0,800.0,5.0,5.0,0.232341504,0.232341504,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gaussian-2c-16p,4096,4096,1.1031060312329168,11,1.720510393288835e-16,seconds,0.0,0.00937860831618309,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gaussian-2c-16p,4096,4096,1.0016916925562211,11,1.9788683984175218e-16,seconds,0.0,0.009357815608382225,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gaussian-2c-16p,4096,4096,1.144572819050724,11,1.8885544656851788e-16,seconds,0.0,0.009357478469610214,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gaussian-2c-16p,4096,4096,0.4579986066496113,11,1.684399287637223e-16,seconds,0.0,0.009375955909490585,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gaussian-2c-24p,13824,13824,0.6234821466445908,11,1.1832278151526686e-16,seconds,1.0943565368652344,1.0920655988156796,megabytes,3588.0,3588.0,23.0,8.0,0.254509056,0.290942976,0.77578125,0.46296875000000004,success,sinkhorn-normed,1.0,1000000,,
