dataset,mu_size,nu_size,cost,iterations,error,marginal_error,marginal_error_mu_to_nu,marginal_error_nu_to_mu,rho_mu_push,tv_mu_to_nu,ma_residual_L1,ma_residual_L1_rel,ma_residual_L2,detJ_min,detJ_max,detJ_neg_frac,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,maxiter,tol
2D-gaussian-1c-32p,1024,1024,0.6527347991240644,1,3.553071218650249e-15,0.006863517791976055,0.0004428075994823257,0.000443649007344041,"[[0.00025065 0.000285   0.00032232 ... 0.00109174 0.00105645 0.00101692]
 [0.00025746 0.00029256 0.00033065 ... 0.00110092 0.00106465 0.00102415]
 [0.0002643  0.00030014 0.00033901 ... 0.00110944 0.00107221 0.00103076]
 ...
 [0.000418   0.00046658 0.00051801 ... 0.00106391 0.00101068 0.00095485]
 [0.0004212  0.00046986 0.00052131 ... 0.00105246 0.00099917 0.00094338]
 [0.00042429 0.00047301 0.00052447 ... 0.00104047 0.00098716 0.00093144]]",0.0003906630885299085,0.0010726262384128118,0.25769845377867845,0.0006659207079615487,0.9997366204877837,1.0005146293074987,0.0,seconds,0.23581695556640625,0.23821516893804073,megabytes,632.0,632.0,0.0,0.0,0.17172889600000002,0.17172889600000002,0.72265625,0.72265625,success,back-and-forth,100000,1e-10
2D-gaussian-1c-32p,1024,1024,0.4756417495933105,1,3.4294064360690696e-13,0.050007430340637336,0.0032262858284282125,0.0032385702552222635,"[[1.13689962e-03 1.45433179e-03 1.79119003e-03 ... 1.88970245e-07
  7.78832014e-08 3.08696384e-08]
 [9.99831442e-04 1.31634545e-03 1.66848999e-03 ... 3.84464132e-07
  1.63087874e-07 6.65314157e-08]
 [8.55243010e-04 1.15890376e-03 1.51175484e-03 ... 7.58080599e-07
  3.30977994e-07 1.38970493e-07]
 ...
 [8.01943266e-11 2.36854969e-10 6.72982279e-10 ... 4.43571965e-04
  4.21294502e-04 3.85781057e-04]
 [2.82923536e-11 8.60060525e-11 2.51515518e-10 ... 3.60740238e-04
  3.52627919e-04 3.32394541e-04]
 [9.67152288e-12 3.02604737e-11 9.10806450e-11 ... 2.84443913e-04
  2.86161123e-04 2.77653819e-04]]",0.0026018099436738405,0.004719621958389561,1.1338891755030938,0.00253377043343487,0.9966532808856202,1.0030696710853833,0.0,seconds,0.2317659854888916,0.23666132614016533,megabytes,632.0,632.0,3.0,3.0,0.170901504,0.170901504,0.6921875,0.6921875,success,back-and-forth,100000,1e-10
2D-gaussian-1c-32p,1024,1024,0.6712737767993413,1,1.6899003692656589e-15,0.006812318605462055,0.00043950442615884184,0.000440328574843926,"[[0.00098305 0.00099336 0.00100256 ... 0.00074412 0.00072105 0.00069813]
 [0.0009899  0.00100132 0.00101166 ... 0.00077219 0.00074904 0.000726  ]
 [0.00099487 0.00100738 0.00101885 ... 0.00079993 0.00077675 0.00075365]
 ...
 [0.00052475 0.00054644 0.00056849 ... 0.00095346 0.00095239 0.0009502 ]
 [0.00049795 0.00051907 0.00054058 ... 0.00093255 0.00093248 0.00093129]
 [0.00047159 0.00049211 0.00051305 ... 0.00091036 0.00091124 0.00091102]]",0.000392555571398667,0.0016001512275949181,0.3844363324296798,0.0008230311878209863,0.9995263521157548,1.0003009725576852,0.0,seconds,0.46080446243286133,0.26919796131551266,megabytes,632.0,632.0,3.0,1.5,0.186617856,0.186617856,0.80625,0.403125,success,back-and-forth,100000,1e-10
2D-gaussian-1c-32p,1024,1024,0.6924310017850972,1,4.164932845752543e-14,0.02628923663430189,0.0016960797828581848,0.001699552002390401,"[[0.00098797 0.00099306 0.00099778 ... 0.00091777 0.00090773 0.00089761]
 [0.00098812 0.00099368 0.00099888 ... 0.00093092 0.00092116 0.00091132]
 [0.00098978 0.0009958  0.00100146 ... 0.0009447  0.00093522 0.00092566]
 ...
 [0.00070717 0.00072022 0.00073333 ... 0.00096396 0.00096614 0.0009681 ]
 [0.00068892 0.00070198 0.00071507 ... 0.00095192 0.00095451 0.00095684]
 [0.00067108 0.00068412 0.00069721 ... 0.00093909 0.00094209 0.00094479]]",0.00155412778056653,0.0027703903274138414,0.6655862761611767,0.001351254747515438,0.9989214879441,1.0014850517229095,0.0,seconds,0.2529566287994385,0.2508663162589073,megabytes,632.0,632.0,3.0,3.0,0.17307238400000002,0.17307238400000002,0.6859375,0.6859375,success,back-and-forth,100000,1e-10
2D-gaussian-1c-32p,1024,1024,0.6369430536150275,1,5.666433059715887e-14,0.0228209676606917,0.001472320494238173,0.0014756891866438554,"[[0.00115163 0.00116903 0.00118396 ... 0.00064822 0.00061217 0.00057672]
 [0.00118404 0.00120309 0.00121965 ... 0.00068591 0.0006484  0.00061146]
 [0.00121379 0.00123451 0.00125272 ... 0.00072315 0.00068427 0.0006459 ]
 ...
 [0.00037276 0.0003891  0.00040535 ... 0.00047625 0.00046251 0.00044865]
 [0.00033342 0.00034838 0.00036328 ... 0.00043815 0.00042593 0.00041356]
 [0.00029689 0.00031052 0.00032411 ... 0.00040126 0.00039044 0.00037947]]",0.0013262673361533416,0.0027341697094946833,0.6568842727060988,0.0014610113298781583,0.9988927793566476,1.0012802296444867,0.0,seconds,0.29352259635925293,0.2708775829523802,megabytes,632.0,632.0,3.0,3.0,0.174358528,0.174358528,0.66171875,0.66171875,success,back-and-forth,100000,1e-10
2D-gaussian-1c-32p,1024,1024,0.633781831335724,1,6.7665975864594996e-15,0.01155151174940104,0.0007452588225420019,0.0007466748524384592,"[[0.00011539 0.00013268 0.00015192 ... 0.00108194 0.00109241 0.00109933]
 [0.0001328  0.00015212 0.00017351 ... 0.00111476 0.00112123 0.00112399]
 [0.0001522  0.00017368 0.00019735 ... 0.00114353 0.00114578 0.00114419]
 ...
 [0.00115275 0.00118668 0.00121615 ... 0.00043235 0.00039079 0.00035166]
 [0.00116825 0.00119805 0.00122313 ... 0.00039221 0.00035316 0.00031658]
 [0.00117964 0.0012051  0.00122559 ... 0.00035432 0.00031782 0.00028382]]",0.0006340724585860381,0.0010838652549969424,0.2603986275130159,0.0006989397624590915,0.9993945364254115,1.0009045389242432,0.0,seconds,0.46004509925842285,0.31810605339705944,megabytes,634.0,634.0,3.0,1.5,0.186535936,0.186535936,0.7203125,0.41953125,success,back-and-forth,100000,1e-10
2D-gaussian-1c-32p,1024,1024,0.3590733398568773,1,2.4465865496083833e-13,0.0739666390524692,0.004772041229191557,0.004787785700119634,"[[6.53021540e-22 7.96104046e-20 7.33302423e-18 ... 7.94422208e-11
  2.86215822e-12 7.79137013e-14]
 [9.27076628e-22 1.10935383e-19 1.00299437e-17 ... 6.57563748e-11
  2.32541619e-12 6.21354722e-14]
 [1.31494648e-21 1.54445409e-19 1.37061826e-17 ... 5.43797721e-11
  1.88765870e-12 4.95091968e-14]
 ...
 [5.82833153e-18 4.14546051e-16 2.22779268e-14 ... 1.15491012e-13
  2.42775739e-15 3.85600364e-17]
 [7.65792729e-18 5.34644107e-16 2.82027538e-14 ... 8.84884812e-14
  1.82582965e-15 2.84648598e-17]
 [1.00568125e-17 6.89176823e-16 3.56841368e-14 ... 6.77322122e-14
  1.37177846e-15 2.09916439e-17]]",0.003198513479353636,0.012579425815804611,3.0222070522470634,0.006325288984806956,0.9936762899152489,1.0041440176394816,0.0,seconds,0.5303914546966553,0.38848564587533474,megabytes,634.0,634.0,0.0,0.0,0.18845286400000003,0.18845286400000003,0.6421875,0.354296875,success,back-and-forth,100000,1e-10
2D-gaussian-1c-32p,1024,1024,0.6682838451942188,1,5.415019345256679e-15,0.011856056832292737,0.0007649068924059823,0.000766384437872662,"[[0.00053656 0.0005678  0.00059952 ... 0.00088034 0.00085806 0.00083415]
 [0.00054953 0.00058127 0.00061347 ... 0.0008906  0.00086769 0.00084316]
 [0.00056255 0.00059478 0.00062747 ... 0.00090045 0.0008769  0.00085177]
 ...
 [0.00077999 0.00081536 0.0008502  ... 0.00089595 0.00086236 0.00082832]
 [0.00078069 0.00081575 0.00085025 ... 0.00088563 0.00085207 0.00081807]
 [0.00078088 0.00081561 0.00084973 ... 0.00087533 0.00084179 0.00080785]]",0.0006939285253979903,0.002679584496935007,0.6437701753886366,0.001326250404571391,0.9992554128377057,1.000514166110556,0.0,seconds,0.4775657653808594,0.32155803963541985,megabytes,634.0,634.0,0.0,0.0,0.18918604800000002,0.18918604800000002,0.73984375,0.369921875,success,back-and-forth,100000,1e-10
2D-gaussian-1c-32p,1024,1024,0.6749936371839325,1,3.4799904737349847e-16,0.003011544401447391,0.0001942931871901541,0.0001946669050318556,"[[0.00096721 0.00098492 0.00100086 ... 0.00068867 0.00065921 0.00062972]
 [0.00096205 0.00098087 0.00099796 ... 0.00070982 0.00068028 0.00065064]
 [0.00095622 0.00097611 0.00099433 ... 0.00073085 0.00070129 0.00067155]
 ...
 [0.00054136 0.00057107 0.00060118 ... 0.00107487 0.00106589 0.00105477]
 [0.00052223 0.00055156 0.00058135 ... 0.00107413 0.00106645 0.00105662]
 [0.00050325 0.00053216 0.00056159 ... 0.0010725  0.00106615 0.00105761]]",0.00016442250708182028,0.0004458821471051282,0.10712318584200724,0.00032294955842999967,0.9998450221146457,1.0002258973711546,0.0,seconds,0.5042996406555176,0.3181942217051983,megabytes,634.0,634.0,3.0,1.5,0.18960384000000002,0.18960384000000002,0.6109375,0.30546875,success,back-and-forth,100000,1e-10
2D-gaussian-1c-32p,1024,1024,0.6728728589652546,1,4.8346423542206255e-14,0.02805530212980035,0.001810019492245182,0.0018137660639435853,"[[0.0008274  0.00086054 0.00089447 ... 0.00089621 0.00086266 0.00082849]
 [0.00084319 0.00087612 0.00090978 ... 0.00088742 0.00085338 0.0008188 ]
 [0.00085874 0.00089143 0.00092478 ... 0.000879   0.00084447 0.00080948]
 ...
 [0.00103229 0.00104424 0.00105531 ... 0.00049455 0.00046302 0.00043237]
 [0.00102744 0.00103833 0.00104832 ... 0.00047863 0.00044768 0.00041765]
 [0.00102205 0.00103189 0.00104081 ... 0.00046294 0.00043259 0.00040319]]",0.0016804327873427955,0.0033544220723394727,0.8058999028795597,0.0016643192798951973,0.9989062470309773,1.0015269032669294,0.0,seconds,0.51837158203125,0.34960838966071606,megabytes,634.0,634.0,3.0,1.5,0.18771968,0.18771968,0.61640625,0.330078125,success,back-and-forth,100000,1e-10
