dataset,mu_size,nu_size,cost,status,exception,name,maxiter,tol
2D-gaussian-6c-160p,25600,25600,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-160p,25600,25600,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-160p,25600,25600,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-160p,25600,25600,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-160p,25600,25600,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-160p,25600,25600,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-160p,25600,25600,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-160p,25600,25600,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-160p,25600,25600,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-160p,25600,25600,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-160p,25600,25600,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-160p,25600,25600,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-160p,25600,25600,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-160p,25600,25600,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-160p,25600,25600,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-160p,25600,25600,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-160p,25600,25600,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-160p,25600,25600,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-160p,25600,25600,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-160p,25600,25600,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-160p,25600,25600,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-192p,36864,36864,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-192p,36864,36864,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-192p,36864,36864,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-192p,36864,36864,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-192p,36864,36864,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-192p,36864,36864,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-192p,36864,36864,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-192p,36864,36864,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-192p,36864,36864,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-192p,36864,36864,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-192p,36864,36864,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-192p,36864,36864,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-192p,36864,36864,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-192p,36864,36864,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-192p,36864,36864,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-192p,36864,36864,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
2D-gaussian-6c-192p,36864,36864,cost_euclid_squared,failed,name 'lax' is not defined,back-and-forth,100000,1e-10
