dataset,mu_size,nu_size,cost,iterations,error,marginal_error,marginal_error_mu_to_nu,marginal_error_nu_to_mu,rho_mu_push,tv_mu_to_nu,ma_residual_L1,ma_residual_L1_rel,ma_residual_L2,detJ_min,detJ_max,detJ_neg_frac,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,maxiter,tol
2D-cauchy-vs-gaussian-32p,1024,1024,0.7942183869835703,1,3.759793549291722e-12,0.08363937941121792,0.005396088994272119,0.005446465172002735,"[[1.81635958e-06 1.96384770e-06 2.13041577e-06 ... 7.82172236e-05
  5.32692931e-05 3.79057700e-05]
 [1.97057537e-06 2.13058872e-06 2.31128895e-06 ... 8.48128958e-05
  5.77606073e-05 4.11017531e-05]
 [2.14558704e-06 2.31982496e-06 2.51656444e-06 ... 9.23405704e-05
  6.28864028e-05 4.47494371e-05]
 ...
 [4.85290053e-05 5.24567880e-05 5.68998329e-05 ... 2.09252551e-03
  1.42304324e-03 1.01125233e-03]
 [3.44482806e-05 3.72362082e-05 4.03897836e-05 ... 1.48649744e-03
  1.01088371e-03 7.18652213e-04]
 [2.55026204e-05 2.75665654e-05 2.99012731e-05 ... 1.10138220e-03
  7.48773463e-04 5.32401601e-04]]",0.0026909891501771346,0.006337253652758321,1.5225251900751893,0.005606368164648724,0.9797933734410694,1.0012856739268865,0.0,seconds,0.46172285079956055,0.2867045346647501,megabytes,632.0,632.0,3.0,1.5,0.186519552,0.186519552,0.65703125,0.328515625,success,back-and-forth,100000,1e-10
2D-cauchy-vs-gaussian-32p,1024,1024,0.6698168125578345,1,7.844198884560145e-13,0.05319575791388031,0.003431984381540662,0.003454799458917041,"[[4.66473934e-04 5.26677309e-04 5.98780231e-04 ... 5.63279623e-04
  4.97031789e-04 4.41672489e-04]
 [6.40336424e-04 7.23014639e-04 8.22115800e-04 ... 7.72198331e-04
  6.81354420e-04 6.05449789e-04]
 [8.49812399e-04 9.59543835e-04 1.09097785e-03 ... 1.02452338e-03
  9.03962030e-04 8.03236727e-04]
 ...
 [1.52544024e-05 1.72257422e-05 1.95927384e-05 ... 1.83543182e-05
  1.61957621e-05 1.43858873e-05]
 [1.41429147e-05 1.59706451e-05 1.81651527e-05 ... 1.70179358e-05
  1.50164209e-05 1.33385427e-05]
 [1.31491560e-05 1.48484671e-05 1.68887520e-05 ... 1.58214393e-05
  1.39608200e-05 1.24011200e-05]]",0.0020820665441313602,0.009724601690584802,2.336335556163003,0.0050632752829986956,0.9917323648483818,1.0027119913042692,0.0,seconds,0.26317691802978516,0.2468675822019577,megabytes,632.0,632.0,3.0,3.0,0.17138483200000001,0.17138483200000001,0.6390625,0.6390625,success,back-and-forth,100000,1e-10
2D-cauchy-vs-gaussian-32p,1024,1024,0.3366700352259069,1,9.633491122539219e-14,0.03736541621539809,0.0024106720138966486,0.0024184009015408518,"[[4.25421505e-05 4.82132450e-05 5.50853618e-05 ... 5.84892511e-05
  5.10041148e-05 4.48551698e-05]
 [4.68242386e-05 5.30658824e-05 6.06293095e-05 ... 6.43815271e-05
  5.61428257e-05 4.93747757e-05]
 [5.17474768e-05 5.86450404e-05 6.70034865e-05 ... 7.11498437e-05
  6.20451794e-05 5.45660712e-05]
 ...
 [9.03705010e-05 1.02408773e-04 1.17001751e-04 ... 1.24144506e-04
  1.08262100e-04 9.52363216e-05]
 [8.00818370e-05 9.07506660e-05 1.03683363e-04 ... 1.10021522e-04
  9.59456958e-05 8.44011401e-05]
 [7.12837265e-05 8.07798924e-05 9.22897177e-05 ... 9.79167991e-05
  8.53889065e-05 7.51140250e-05]]",0.0017589757489316234,0.003937638153090153,0.9460175662799108,0.002519593031147319,0.9950328567569695,1.0009480781486602,0.0,seconds,0.26517820358276367,0.2799962069839239,megabytes,632.0,632.0,3.0,3.0,0.17679155200000002,0.17679155200000002,0.6578125,0.6578125,success,back-and-forth,100000,1e-10
2D-cauchy-vs-gaussian-32p,1024,1024,0.3234973593216253,1,5.038065169615033e-13,0.06083434363518313,0.003924796363560198,0.003944520592930587,"[[3.28781409e-05 3.67922488e-05 4.14673868e-05 ... 8.52130627e-05
  7.20280971e-05 6.16859927e-05]
 [3.88081939e-05 4.34284273e-05 4.89474004e-05 ... 1.00591344e-04
  8.50227895e-05 7.28137417e-05]
 [4.63014579e-05 5.18134424e-05 5.83977034e-05 ... 1.20009607e-04
  1.01438048e-04 8.68743483e-05]
 ...
 [1.08871638e-05 1.21881647e-05 1.37380266e-05 ... 2.82226825e-05
  2.38519008e-05 2.04185809e-05]
 [9.87958278e-06 1.10602484e-05 1.24667090e-05 ... 2.56116499e-05
  2.16451671e-05 1.85293551e-05]
 [9.00469605e-06 1.00808660e-05 1.13628564e-05 ... 2.33482841e-05
  1.97321855e-05 1.68916357e-05]]",0.0023436419854846262,0.004944376991917915,1.1878865723082812,0.0040031313282135874,0.9883778498172792,1.0010068366794953,0.0,seconds,0.24887871742248535,0.25260357186198235,megabytes,632.0,632.0,3.0,3.0,0.1727488,0.1727488,0.70859375,0.70859375,success,back-and-forth,100000,1e-10
2D-cauchy-vs-gaussian-32p,1024,1024,0.5439445304524422,1,6.311851495589993e-13,0.053689120215912545,0.0034638142074782255,0.003480192885505409,"[[2.93674671e-05 3.17477095e-05 3.44427868e-05 ... 4.73545071e-04
  3.86624261e-04 3.16409403e-04]
 [3.52418698e-05 3.80981935e-05 4.13322914e-05 ... 5.67815367e-04
  4.63604451e-04 3.79395644e-04]
 [4.29910834e-05 4.64753965e-05 5.04205378e-05 ... 6.92548829e-04
  5.65449913e-04 4.62696572e-04]
 ...
 [1.02516024e-05 1.10858895e-05 1.20274538e-05 ... 1.64979501e-04
  1.34750775e-04 1.10224124e-04]
 [9.24478352e-06 9.99718219e-06 1.08463308e-05 ... 1.48802120e-04
  1.21538408e-04 9.94160840e-05]
 [8.38129592e-06 9.06341126e-06 9.83319643e-06 ... 1.34932910e-04
  1.10211117e-04 9.01504905e-05]]",0.0021923306665780017,0.005273075350819009,1.2668563530342694,0.003598840813894415,0.9911308974793057,1.0012357725340486,0.0,seconds,0.44988322257995605,0.36569471284747124,megabytes,634.0,634.0,1.0,0.5,0.18612224000000002,0.18612224000000002,0.43671875,0.422265625,success,back-and-forth,100000,1e-10
2D-cauchy-vs-gaussian-32p,1024,1024,0.6818316385210903,1,1.2103618024118779e-12,0.06349153959674156,0.004096228361080097,0.004120129705768542,"[[5.34693318e-06 5.78811550e-06 6.28682235e-06 ... 2.20759371e-04
  1.47102354e-04 1.03809899e-04]
 [5.82823749e-06 6.30912660e-06 6.85272733e-06 ... 2.40513434e-04
  1.60264191e-04 1.13098186e-04]
 [6.37733153e-06 6.90350684e-06 7.49829044e-06 ... 2.63129849e-04
  1.75331859e-04 1.23731384e-04]
 ...
 [3.30083962e-05 3.57165566e-05 3.87913547e-05 ... 1.36681251e-03
  9.09795963e-04 6.41704138e-04]
 [2.80195038e-05 3.03181677e-05 3.29282750e-05 ... 1.16044723e-03
  7.72374407e-04 5.44873770e-04]
 [2.39222707e-05 2.58846158e-05 2.81128634e-05 ... 9.91165685e-04
  6.59612756e-04 4.65348187e-04]]",0.0025687578841179374,0.005929237708776867,1.4244993595336448,0.0041334090198137515,0.9894689441058832,1.0012425436630779,0.0,seconds,0.2779994010925293,0.25066271610558033,megabytes,634.0,634.0,3.0,3.0,0.17269145600000002,0.17269145600000002,0.6046875,0.6046875,success,back-and-forth,100000,1e-10
2D-cauchy-vs-gaussian-32p,1024,1024,0.8802697816098015,1,3.1380219665317146e-12,0.09697714145731179,0.006256589771439464,0.006279194064692671,"[[2.16528124e-03 2.95669852e-03 4.17720665e-03 ... 1.39278672e-04
  1.28331431e-04 1.18645846e-04]
 [2.47363000e-03 3.37740399e-03 4.77486609e-03 ... 1.59542506e-04
  1.47004526e-04 1.35910107e-04]
 [2.70546109e-03 3.69286242e-03 5.22243396e-03 ... 1.74364813e-04
  1.60661210e-04 1.48534923e-04]
 ...
 [1.13022205e-04 1.54015106e-04 2.17154449e-04 ... 7.29152449e-06
  6.71690235e-06 6.21191596e-06]
 [1.05160629e-04 1.43301397e-04 2.02046802e-04 ... 6.78392712e-06
  6.24929777e-06 5.77948955e-06]
 [9.81465578e-05 1.33742970e-04 1.88569168e-04 ... 6.32809310e-06
  5.82937551e-06 5.39114302e-06]]",0.0038209039238563847,0.02165237737693647,5.201983664808996,0.010762121616867905,0.9879284769677685,1.0063770875597573,0.0,seconds,0.27391743659973145,0.2562727853655815,megabytes,634.0,634.0,2.0,2.0,0.172179456,0.172179456,0.6671875,0.6671875,success,back-and-forth,100000,1e-10
2D-cauchy-vs-gaussian-32p,1024,1024,0.6128828543549101,1,1.505007959099506e-12,0.07417925152041988,0.0047857581626077296,0.004819005705797542,"[[3.94178694e-06 4.32290315e-06 4.76241233e-06 ... 3.77665615e-05
  2.91971667e-05 2.32309747e-05]
 [4.24615016e-06 4.65667835e-06 5.13010250e-06 ... 4.06669295e-05
  3.14395566e-05 2.50151272e-05]
 [4.58722244e-06 5.03070688e-06 5.54214800e-06 ... 4.39310479e-05
  3.39631642e-05 2.70229374e-05]
 ...
 [7.23766267e-05 7.93341877e-05 8.73931185e-05 ... 6.93157174e-04
  5.36148138e-04 4.26954147e-04]
 [6.16756240e-05 6.76039714e-05 7.44708568e-05 ... 5.90382949e-04
  4.56653370e-04 3.63642755e-04]
 [5.17908268e-05 5.67691834e-05 6.25361588e-05 ... 4.96204113e-04
  3.83849447e-04 3.05680122e-04]]",0.00257846556152651,0.005743916703162287,1.3799759879347422,0.00491326029123091,0.9853328035304556,1.001227404468864,0.0,seconds,0.2671940326690674,0.24043843150138855,megabytes,634.0,634.0,0.0,0.0,0.174379008,0.174379008,0.63359375,0.63359375,success,back-and-forth,100000,1e-10
2D-cauchy-vs-gaussian-32p,1024,1024,0.621255498174341,1,2.1046360101932157e-12,0.076424498800528,0.0049306128258405114,0.004964722593015522,"[[7.23818403e-06 8.19333016e-06 9.34970953e-06 ... 1.19432257e-05
  1.02979459e-05 8.96949448e-06]
 [7.74202490e-06 8.76364659e-06 1.00005002e-05 ... 1.27754287e-05
  1.10155712e-05 9.59452019e-06]
 [8.30342549e-06 9.39911026e-06 1.07256319e-05 ... 1.37015132e-05
  1.18141411e-05 1.02899807e-05]
 ...
 [3.27289944e-04 3.70160944e-04 4.22332224e-04 ... 5.39054195e-04
  4.64917192e-04 4.05388408e-04]
 [3.22465762e-04 3.64696436e-04 4.16094636e-04 ... 5.31082725e-04
  4.58046535e-04 3.99410425e-04]
 [2.89739571e-04 3.27689964e-04 3.73893331e-04 ... 4.77253093e-04
  4.11587902e-04 3.58890383e-04]]",0.002580587147473621,0.005582080300358404,1.3410947921611092,0.004993004826770036,0.9839134597982747,1.0014460344382974,0.0,seconds,0.32837843894958496,0.28321481868624687,megabytes,634.0,634.0,3.0,3.0,0.172302336,0.172302336,0.5390625,0.5390625,success,back-and-forth,100000,1e-10
2D-cauchy-vs-gaussian-32p,1024,1024,0.2690009136373334,1,7.167205689191404e-13,0.084206097148146,0.005432651428912641,0.005469167243254807,"[[7.18226503e-06 7.94790152e-06 8.83414324e-06 ... 1.35104259e-05
  1.19401113e-05 1.06112075e-05]
 [8.03124005e-06 8.88732011e-06 9.87824499e-06 ... 1.51041269e-05
  1.33486449e-05 1.18629467e-05]
 [9.04304664e-06 1.00069079e-05 1.11226420e-05 ... 1.70065244e-05
  1.50300023e-05 1.33570582e-05]
 ...
 [2.09500195e-05 2.31770385e-05 2.57604447e-05 ... 3.94116483e-05
  3.48336794e-05 3.09503202e-05]
 [1.75389992e-05 1.94036500e-05 2.15665807e-05 ... 3.29967188e-05
  2.91633606e-05 2.59129915e-05]
 [1.48994727e-05 1.64836682e-05 1.83213157e-05 ... 2.80342127e-05
  2.47768438e-05 2.20155840e-05]]",0.0028412731544911044,0.006088071058630683,1.4626590718360242,0.005485534945247871,0.9850388270465683,1.0011036957303405,0.0,seconds,0.2353649139404297,0.2423258889466524,megabytes,634.0,634.0,3.0,3.0,0.17362534400000001,0.17362534400000001,0.64921875,0.64921875,success,back-and-forth,100000,1e-10
