dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,cost_normed,cost_diff
1D-gaussian-1c-32p,32,32,0.08922511742765839,11,1.1131972324439908e-16,seconds,0.0,0.003469593822956085,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.020630767302683345,11,1.8076603893165287e-16,seconds,0.0,0.0036028269678354263,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.10414642631337823,11,1.3197734932840133e-16,seconds,0.0,0.003488350659608841,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.4850558115574978,11,1.7577355846338733e-16,seconds,0.0,0.0034701451659202576,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.29067780516056396,11,9.85517031021809e-17,seconds,0.0,0.0035842861980199814,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.03068984549042419,11,2.4111292029964374e-16,seconds,0.0,0.003444638103246689,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.5018449645632637,11,1.384681228564811e-16,seconds,0.0,0.003538183867931366,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.8256527720400777,11,1.1281760836853e-16,seconds,0.0,0.0036337319761514664,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.54203058647158,11,1.421071845033894e-16,seconds,0.5840601921081543,0.590586232021451,megabytes,2124.0,2124.0,75.0,75.0,0.292364288,0.292364288,0.73359375,0.544140625,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.08531555947089425,11,1.6453905899231527e-16,seconds,0.0,0.003910953179001808,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,1.2625481431312728,11,1.24902253431374e-16,seconds,0.0,0.004048360511660576,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.3214654276291379,11,2.2198027685898845e-16,seconds,0.0,0.003837844356894493,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.044341481389648996,11,1.9085996221901175e-16,seconds,0.0,0.0036663897335529327,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.3884114903134893,11,1.2301933422627746e-16,seconds,0.0,0.004007168114185333,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.08311221134701967,11,2.3312941293057247e-16,seconds,0.0,0.0037963222712278366,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.10125626763272828,11,1.8709679888064016e-16,seconds,0.0,0.0038051027804613113,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.10033752274107362,11,1.6260185735621088e-16,seconds,0.0,0.0037036966532468796,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.09192790926867093,11,1.2672245893697408e-16,seconds,0.0,0.003738660365343094,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.06920668389120957,11,2.43638857403403e-16,seconds,0.0,0.003780124709010124,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.030914564471545447,11,1.4772565856801337e-16,seconds,0.0,0.003707040101289749,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.14228887905917847,11,1.7170334546201239e-16,seconds,0.0,0.003650195896625519,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.24994180353205958,11,1.2606795157054502e-16,seconds,0.0,0.003562862053513527,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.07243882027413764,11,1.7394704584388014e-16,seconds,0.0,0.003925265744328499,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.03101573787447404,11,1.4204226145116816e-16,seconds,0.0,0.00389215350151062,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.1812567641186509,11,1.3856561309031201e-16,seconds,0.0,0.003616275265812874,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.2664515469667996,11,1.5467348441848775e-16,seconds,0.0,0.003648810088634491,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.037041007138287556,11,1.7171355771030032e-16,seconds,0.0,0.0036147013306617737,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.5129758615852412,11,2.2186078224340145e-16,seconds,0.0,0.0036838985979557037,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.019907903080503497,11,1.6020762013341435e-16,seconds,0.0,0.003651624545454979,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.02876711863532536,11,1.7155287587444736e-16,seconds,0.0,0.00341014564037323,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.08922469157965561,11,1.8163025366161586e-16,seconds,0.0,0.003477117046713829,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.020630767302683338,11,1.8521421433409267e-16,seconds,0.0,0.003606032580137253,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.10414641796986668,11,1.863972352629064e-16,seconds,0.0,0.00358637236058712,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.4850558115143215,11,1.2329007023075504e-16,seconds,0.0,0.003623705357313156,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.29067780516052283,11,1.8718835419281084e-16,seconds,0.0,0.003374844789505005,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.030689845490296526,11,1.8475684170483377e-16,seconds,0.0,0.0034516658633947372,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.5018388015436895,11,1.6741050261818904e-16,seconds,0.0,0.003576556220650673,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.825652755871725,11,2.0833003269317633e-16,seconds,0.0,0.0035624783486127853,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.5420305861576601,11,1.33759904270755e-16,seconds,0.7146589756011963,0.6579234562814236,megabytes,2124.0,2124.0,75.0,75.0,0.291729408,0.291729408,0.76640625,0.527734375,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.08531555947088823,11,1.5925847339793187e-16,seconds,0.0,0.00423453189432621,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,1.2625451520079647,11,1.7868134103271867e-16,seconds,0.0,0.003919780254364014,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.32146360477598157,11,9.634134470241646e-17,seconds,0.0,0.003938054665923119,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.04434148131745714,11,1.3144067610883036e-16,seconds,0.0,0.003875022754073143,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.3884114898350363,11,1.4377504562201657e-16,seconds,0.0,0.003889678046107292,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.08311208762109894,11,1.645847153611668e-16,seconds,0.0,0.0038645677268505096,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.10125522587392786,11,1.0388756190194112e-16,seconds,0.0,0.003711467608809471,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.1003372386353545,11,1.533620577823373e-16,seconds,0.0,0.003778494894504547,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.09192754411464034,11,1.4965739636532082e-16,seconds,0.0,0.0038162358105182648,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.06920668389103474,11,1.3246562782969587e-16,seconds,0.0,0.0037990473210811615,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.030914564471545444,11,1.3040845233307798e-16,seconds,0.0,0.0036630239337682724,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-128p,128,128,0.14228886874661628,11,1.341027679382884e-16,seconds,0.0,0.003694126382470131,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
