dataset,mu_size,nu_size,cost,cost_normed,cost_diff,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
1D-gaussian-1c-32p,32,32,0.41623309051552665,0.10405827262888166,0.312174817886645,1000000,0.22507554003239041,seconds,40.83401942253113,40.666642256081104,megabytes,544.0,544.0,56.0,54.540983606557376,0.117641216,0.117641216,0.84453125,0.7756830601092896,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-32p,32,32,0.03746097814906411,0.009365244537266027,0.028095733611798082,1000000,0.18323080965023697,seconds,40.513516426086426,40.417854433879256,megabytes,544.0,544.0,56.0,54.66129032258065,0.117272576,0.117272576,0.81953125,0.7783224126344083,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-32p,32,32,0.9365244066465591,0.23413110166163978,0.7023933049849194,1000000,0.3897791370854719,seconds,41.104305028915405,41.01786811649799,megabytes,544.0,544.0,56.0,53.95073891625616,0.11724390400000001,0.11724390400000001,0.8453125,0.7759813731527094,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-32p,32,32,0.20395421382014303,0.05098855345503576,0.15296566036510728,1000000,0.27757982759396604,seconds,40.60833978652954,40.452888080850244,megabytes,544.0,544.0,56.0,54.331491712707184,0.11714969600000001,0.11714969600000001,0.81171875,0.7753453038674035,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-32p,32,32,0.016649323621059642,0.0041623309052649105,0.012486992715794731,1000000,0.08198707471948159,seconds,40.186519384384155,40.03252725675702,megabytes,544.0,544.0,58.0,54.51497005988024,0.117121024,0.117121024,0.8140625,0.7764595808383233,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-32p,32,32,0.26638917789795646,0.06659729447448912,0.19979188342346735,1000000,0.260696339869523,seconds,40.25422167778015,40.11650139093399,megabytes,544.0,544.0,58.0,54.67816091954023,0.117133312,0.117133312,0.82421875,0.776360452586207,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-32p,32,32,0.03746097632198485,0.009365244080496212,0.028095732241488636,1000000,0.17098614666282855,seconds,40.21489930152893,40.07571317628026,megabytes,544.0,544.0,58.0,54.887573964497044,0.11714150400000001,0.11714150400000001,0.815625,0.7757766272189348,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-32p,32,32,0.06659725727594668,0.01664931431898667,0.049947942956960006,1000000,0.08158241471975582,seconds,40.270055532455444,40.09772423654795,megabytes,544.0,544.0,58.0,54.97076023391813,0.11739136000000001,0.11739136000000001,0.81875,0.775767543859649,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-32p,32,32,0.06659729203336315,0.016649323008340787,0.04994796902502236,1000000,0.0767650338807794,seconds,40.500704526901245,40.35579778626561,megabytes,544.0,544.0,56.0,54.3646408839779,0.11712921600000001,0.11712921600000001,0.8109375,0.7750431629834261,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-32p,32,32,0.066597286554786,0.0166493216386965,0.0499479649160895,1000000,0.031101264619895867,seconds,40.589452266693115,40.52540878392756,megabytes,544.0,544.0,57.0,54.28947368421053,0.11711283200000001,0.11711283200000001,0.815625,0.7777754934210531,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-32p,32,32,0.03746097814888119,0.009365244537220298,0.028095733611660893,1000000,0.08554628372643906,seconds,40.42148303985596,40.26675239764154,megabytes,544.0,544.0,58.0,54.59411764705882,0.117096448,0.117096448,0.81484375,0.7775459558823532,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-32p,32,32,0.011988268615458542,0.0029970671538646354,0.008991201461593906,951591,4.279522037782611e-07,seconds,38.68720054626465,38.507278583943844,megabytes,544.0,544.0,57.0,54.55555555555556,0.117379072,0.117379072,0.81171875,0.773766447368421,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-32p,32,32,0.10405827245186972,0.02601456811296743,0.07804370433890229,1000000,0.081853635887145,seconds,40.18112397193909,40.129697285592556,megabytes,544.0,544.0,56.0,54.45977011494253,0.11712512000000001,0.11712512000000001,0.81484375,0.7776490660919539,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-32p,32,32,0.14984391259522206,0.037460978148805515,0.11238293444641655,1000000,0.2648340326113027,seconds,40.30801296234131,40.250357216224074,megabytes,544.0,544.0,57.0,54.57627118644068,0.117133312,0.117133312,0.81796875,0.779396186440678,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-32p,32,32,0.03746097814038114,0.009365244535095286,0.028095733605285857,1000000,0.10673742153532453,seconds,40.34038829803467,40.230978183448315,megabytes,544.0,544.0,57.0,54.69491525423729,0.117133312,0.117133312,0.81796875,0.7779837570621471,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-32p,32,32,0.012081337272756752,0.003020334318189188,0.009061002954567564,941511,5.772383631945889e-07,seconds,38.18567156791687,38.15505674853921,megabytes,544.0,544.0,56.0,54.52662721893491,0.117170176,0.117170176,0.815625,0.7803578032544383,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-32p,32,32,0.10405826175053287,0.026014565437633218,0.07804369631289965,1000000,0.22961322373691484,seconds,40.524197816848755,40.43523831665516,megabytes,544.0,544.0,58.0,54.51933701657459,0.11714150400000001,0.11714150400000001,0.81796875,0.7758977900552482,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-32p,32,32,0.2039542142496652,0.0509885535624163,0.1529656606872489,1000000,0.13383366382811057,seconds,40.417673110961914,40.13072223588824,megabytes,544.0,544.0,58.0,54.73529411764706,0.117157888,0.117157888,0.8203125,0.7745404411764703,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-32p,32,32,0.01664932362071258,0.004162330905178145,0.012486992715534434,1000000,0.0057054616536740595,seconds,40.715367555618286,40.55494558438659,megabytes,544.0,544.0,58.0,54.39673913043478,0.117190656,0.117190656,0.81640625,0.776273777173913,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-32p,32,32,0.3371488033676171,0.08428720084190428,0.2528616025257128,1000000,0.3352719787425699,seconds,40.33328294754028,40.31899529695511,megabytes,544.0,544.0,56.0,54.71978021978022,0.11723161600000001,0.11723161600000001,0.815625,0.7774467719780219,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-32p,32,32,0.0,0.0,0.0,1000000,0.008478633472190333,seconds,40.48638319969177,40.436635717749596,megabytes,544.0,544.0,57.0,54.705555555555556,0.11723161600000001,0.11723161600000001,0.8203125,0.7799348958333331,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-32p,32,32,0.004162330905309387,0.0010405827263273468,0.0031217481789820403,1000000,0.08895051410940151,seconds,41.00231599807739,40.92410971596837,megabytes,544.0,544.0,57.0,54.10050251256281,0.117297152,0.117297152,0.81796875,0.7785215138190951,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-32p,32,32,0.06659727985763661,0.016649319964409152,0.04994795989322746,1000000,0.015781786975274267,seconds,40.3876166343689,40.30060565285385,megabytes,544.0,544.0,58.0,54.68279569892473,0.117305344,0.117305344,0.8203125,0.7758820564516128,success,sinkhorn-normed-log,1e-08,1000000
