dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name
1D-gaussian-2c-32p,32,32,0.005845493840722066,,1.3877787807814457e-17,0.0,seconds,0.0,0.0017044711858034134,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.026361494605034008,,1.3183898417423734e-16,0.0,seconds,0.0,0.0016948673874139786,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.029545352335652576,,1.249000902703301e-16,0.0,seconds,0.0,0.0017355289310216904,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.014587146935821397,,1.0061396160665481e-16,0.0,seconds,0.0,0.0017692092806100845,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.0016371336007673235,,1.249000902703301e-16,0.0,seconds,0.0,0.0017004003748297691,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.006903374821282034,,2.1510571102112408e-16,0.0,seconds,0.0,0.0016678031533956528,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-64p,64,64,0.032301742692404434,,6.071532165918825e-17,0.0,seconds,0.0,0.0022549405694007874,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-64p,64,64,0.013775395224411392,,3.8163916471489756e-17,0.0,seconds,0.0,0.0020789867267012596,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-64p,64,64,0.07615645834718705,,1.8735013540549517e-16,0.0,seconds,0.0,0.0022623902186751366,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-64p,64,64,0.001277056101756484,,6.071532165918825e-17,0.0,seconds,0.0,0.002017979510128498,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-64p,64,64,0.045102689545252185,,1.6479873021779667e-16,0.0,seconds,0.0,0.002104906365275383,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-64p,64,64,0.006215225570415429,,1.8735013540549517e-16,0.0,seconds,0.0,0.00208439864218235,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-64p,64,64,0.008789559175884773,,4.336808689942018e-17,0.0,seconds,0.0,0.0020752502605319023,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-64p,64,64,0.016443761683894557,,1.3357370765021415e-16,0.0,seconds,0.0,0.0021585263311862946,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-64p,64,64,0.041423925033835636,,2.42861286636753e-17,0.0,seconds,0.0,0.0021674204617738724,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-64p,64,64,0.055717500031174365,,9.367506770274758e-17,0.0,seconds,0.0,0.0020647216588258743,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-64p,64,64,0.012915394730660307,,1.214306433183765e-16,0.0,seconds,0.0,0.002192077226936817,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
