dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,tol
1D-students-2df-32p,32,32,0.1597620534719503,279,4.979340297667329e-07,seconds,0.21394777297973633,0.08782959915697575,megabytes,544.0,544.0,30.0,30.0,0.23926374400000003,0.23926374400000003,0.2171875,0.2171875,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.2522467365938961,272,9.770602976670948e-07,seconds,0.22432804107666016,0.08652346022427082,megabytes,544.0,544.0,27.0,27.0,0.23924736000000002,0.23924736000000002,0.21171875,0.21171875,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.17773607620042067,292,3.180633619255942e-07,seconds,0.21647381782531738,0.09169816039502621,megabytes,544.0,544.0,18.0,18.0,0.23923507200000002,0.23923507200000002,0.2515625,0.2515625,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.17622783386990698,363,4.4105110797507255e-07,seconds,0.21370172500610352,0.11105473712086678,megabytes,544.0,544.0,18.0,18.0,0.23916953600000002,0.23916953600000002,0.340625,0.340625,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.16212936161188893,285,7.466677660536395e-07,seconds,0.234330415725708,0.08948944136500359,megabytes,544.0,544.0,19.0,19.0,0.23918182400000002,0.23918182400000002,0.1671875,0.1671875,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.15671070866848402,329,3.37337834482719e-07,seconds,0.23153257369995117,0.10321409441530704,megabytes,544.0,544.0,9.0,9.0,0.239140864,0.239140864,0.24140625,0.24140625,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.2688698199830758,264,8.153443158359534e-07,seconds,0.2273392677307129,0.08590103127062321,megabytes,544.0,544.0,0.0,0.0,0.23919411200000001,0.23919411200000001,0.1703125,0.1703125,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.1604695832887587,239,8.980591451029946e-07,seconds,0.2077329158782959,0.07717476971447468,megabytes,544.0,544.0,0.0,0.0,0.23914905600000003,0.23914905600000003,0.2171875,0.2171875,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.1694632601230369,261,3.251906862301488e-07,seconds,0.21456050872802734,0.08265603706240654,megabytes,544.0,544.0,0.0,0.0,0.239190016,0.239190016,0.2140625,0.2140625,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.163098899589102,300,7.464743187053342e-07,seconds,0.20870471000671387,0.09671667590737343,megabytes,544.0,544.0,0.0,0.0,0.23916134400000003,0.23916134400000003,0.30234375,0.30234375,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.2804949159129365,282,6.104021506535852e-07,seconds,0.21473002433776855,0.08936407044529915,megabytes,544.0,544.0,0.0,0.0,0.239190016,0.239190016,0.2125,0.2125,success,lbfgs,1.0,100000,1e-06
1D-students-2df-64p,64,64,0.1922791788127882,2282,4.681682011065043e-07,seconds,2.953831672668457,2.7886661551892757,megabytes,546.0,546.0,93.0,17.333333333333332,0.296210432,0.333524992,1.03125,0.6681640624999999,success,lbfgs,1.0,100000,1e-06
1D-students-2df-64p,64,64,0.15820729208752737,2864,9.58494835268152e-07,seconds,0.7956216335296631,0.7729066368192434,megabytes,546.0,546.0,93.0,79.5,0.24490803200000003,0.24490803200000003,0.8171875,0.75546875,success,lbfgs,1.0,100000,1e-06
1D-students-2df-64p,64,64,0.15978092629392485,2165,8.800009601205554e-07,seconds,0.7124810218811035,0.6052322816103697,megabytes,546.0,546.0,93.0,77.33333333333333,0.24489574400000003,0.24489574400000003,0.77265625,0.6200520833333334,success,lbfgs,1.0,100000,1e-06
1D-students-2df-64p,64,64,0.15800582140132308,1939,5.914630659198607e-07,seconds,0.5214889049530029,0.5301769375801086,megabytes,546.0,546.0,93.0,69.5,0.24471552000000002,0.24471552000000002,0.79140625,0.7875,success,lbfgs,1.0,100000,1e-06
1D-students-2df-64p,64,64,0.14952625646889908,1998,8.111505916757423e-07,seconds,0.5841028690338135,0.5476267356425524,megabytes,546.0,546.0,93.0,69.0,0.244809728,0.244809728,0.77421875,0.694140625,success,lbfgs,1.0,100000,1e-06
1D-students-2df-64p,64,64,0.3096498835548225,1491,8.559445714206606e-07,seconds,0.5886316299438477,0.4183983225375414,megabytes,546.0,546.0,93.0,56.666666666666664,0.24691916800000002,0.24691916800000002,0.7875,0.5140625,success,lbfgs,1.0,100000,1e-06
1D-students-2df-64p,64,64,0.16521085384968348,2874,3.673533563451538e-07,seconds,0.7901618480682373,0.7731196843087673,megabytes,546.0,546.0,93.0,62.75,0.244736,0.244736,0.7984375,0.7601562500000001,success,lbfgs,1.0,100000,1e-06
1D-students-2df-64p,64,64,0.1584958074994337,2346,8.725215911685474e-07,seconds,0.8101251125335693,0.6377291660755873,megabytes,546.0,546.0,93.0,63.75,0.246800384,0.246800384,0.8046875,0.5806640625,success,lbfgs,1.0,100000,1e-06
1D-students-2df-64p,64,64,0.15675871892127793,2470,6.109042482258336e-07,seconds,0.7882504463195801,0.6714290361851454,megabytes,546.0,546.0,93.0,61.0,0.24458035200000003,0.24458035200000003,0.80390625,0.652734375,success,lbfgs,1.0,100000,1e-06
1D-students-2df-64p,64,64,0.17522623456964115,1960,6.218982291922411e-07,seconds,0.5948479175567627,0.5385468415915966,megabytes,546.0,546.0,93.0,54.0,0.24451481600000002,0.24451481600000002,0.7859375,0.7020833333333334,success,lbfgs,1.0,100000,1e-06
1D-students-2df-64p,64,64,0.1783509536456082,2339,6.34183742849105e-07,seconds,0.8109149932861328,0.6378495506942272,megabytes,546.0,546.0,93.0,65.0,0.246657024,0.246657024,0.80546875,0.5896484375,success,lbfgs,1.0,100000,1e-06
1D-students-2df-64p,64,64,0.175133329943502,2317,4.1477342181175786e-07,seconds,0.6291131973266602,0.6301009505987167,megabytes,546.0,546.0,94.0,56.0,0.2444288,0.2444288,0.8078125,0.7979166666666666,success,lbfgs,1.0,100000,1e-06
1D-students-2df-64p,64,64,0.2901300952414758,1760,8.496635663113381e-07,seconds,0.6283838748931885,0.49215193279087543,megabytes,546.0,546.0,94.0,62.666666666666664,0.244862976,0.244862976,0.7828125,0.5755208333333334,success,lbfgs,1.0,100000,1e-06
