dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,learning_rate,tol
1D-students-2df-32p,32,32,0.1600450216687445,139074,9.99993264194643e-07,20.15336330397303,seconds,4.848650932312012,4.829984989017248,megabytes,546.0,546.0,68.0,64.29166666666667,0.1636352,0.1636352,0.815625,0.7772135416666668,success,gradient,1.0,1000000,0.001,1e-06
1D-students-2df-32p,32,32,0.16167492200910863,105759,9.99992963990337e-07,45.46321477501153,seconds,3.7999470233917236,3.6744316685944796,megabytes,546.0,546.0,68.0,65.36842105263158,0.16347545600000002,0.16347545600000002,0.81484375,0.7428453947368421,success,gradient,1.0,1000000,0.001,1e-06
1D-students-2df-32p,32,32,0.1602852139720567,108902,9.999800938409464e-07,93.2401354597166,seconds,3.7560431957244873,3.6220056815072894,megabytes,546.0,546.0,73.0,66.58823529411765,0.16340992000000001,0.16340992000000001,0.80390625,0.7457720588235295,success,gradient,1.0,1000000,0.001,1e-06
1D-students-2df-32p,32,32,0.15249147204391578,343794,9.999999930343506e-07,2.407066980626636,seconds,11.686351537704468,11.585932379588485,megabytes,546.0,546.0,73.0,68.32692307692308,0.163598336,0.163598336,0.81328125,0.7688251201923078,success,gradient,1.0,1000000,0.001,1e-06
1D-students-2df-32p,32,32,0.3130243697077767,607319,9.999991084086446e-07,0.2316662134633175,seconds,20.10933256149292,20.063558320514858,megabytes,546.0,546.0,79.0,70.85227272727273,0.22289612800000003,0.22289612800000003,0.82109375,0.7756480823863634,success,gradient,1.0,1000000,0.001,1e-06
1D-students-2df-32p,32,32,0.16632730965699294,192321,9.999877095268062e-07,4.876528690564815,seconds,6.724508285522461,6.550614955835044,megabytes,546.0,546.0,73.0,66.53125,0.16455270400000002,0.16455270400000002,0.8125,0.7541992187500001,success,gradient,1.0,1000000,0.001,1e-06
1D-students-2df-32p,32,32,0.16124084531621846,90862,9.999912040647985e-07,314.466028333014,seconds,3.301114320755005,3.1359147680923343,megabytes,546.0,546.0,73.0,65.3125,0.164503552,0.164503552,0.82109375,0.73564453125,success,gradient,1.0,1000000,0.001,1e-06
1D-students-2df-32p,32,32,0.1582664341001837,188338,9.999979360131306e-07,14.082464872006671,seconds,6.439981937408447,6.441692126914859,megabytes,546.0,546.0,73.0,67.80645161290323,0.163328,0.163328,0.8171875,0.7780493951612902,success,gradient,1.0,1000000,0.001,1e-06
1D-students-2df-32p,32,32,0.178295147566993,458668,9.9999799818562e-07,0.5777745081491301,seconds,15.326061725616455,15.164370465092361,megabytes,546.0,546.0,73.0,70.1044776119403,0.163913728,0.163913728,0.8203125,0.7687266791044778,success,gradient,1.0,1000000,0.001,1e-06
1D-students-2df-32p,32,32,0.17981413800573248,285286,9.999983188180295e-07,1.8596982481578492,seconds,9.733160018920898,9.562761252745986,megabytes,546.0,546.0,73.0,69.08888888888889,0.164507648,0.164507648,0.8140625,0.7625868055555556,success,gradient,1.0,1000000,0.001,1e-06
1D-students-2df-32p,32,32,0.17592722548176948,213429,9.99989469896434e-07,2.701153016460689,seconds,7.406297445297241,7.240864495746791,megabytes,546.0,546.0,73.0,67.8,0.164397056,0.164397056,0.81953125,0.7576785714285716,success,gradient,1.0,1000000,0.001,1e-06
1D-students-2df-32p,32,32,0.2948184388787951,403770,9.999991412712461e-07,0.1057553996769932,seconds,13.339346170425415,13.359850485809147,megabytes,546.0,546.0,73.0,70.28813559322033,0.163393536,0.163393536,0.809375,0.780760063559322,success,gradient,1.0,1000000,0.001,1e-06
1D-students-2df-32p,32,32,0.22665300604021094,256560,9.999981829267313e-07,0.4218261486856385,seconds,8.60616660118103,8.44975077919662,megabytes,546.0,546.0,73.0,69.86111111111111,0.163807232,0.163807232,0.8,0.7621961805555556,success,gradient,1.0,1000000,0.001,1e-06
1D-students-2df-32p,32,32,0.1643604391318418,221674,9.999948336059106e-07,5.979556352546292,seconds,7.3916449546813965,7.338877061381936,megabytes,546.0,546.0,73.0,69.27272727272727,0.163405824,0.163405824,0.81328125,0.7772727272727273,success,gradient,1.0,1000000,0.001,1e-06
1D-students-2df-32p,32,32,0.16657673512110005,162021,9.999890187017968e-07,7.858262610019765,seconds,5.609337091445923,5.458960227668285,megabytes,546.0,546.0,73.0,66.5,0.16334848000000002,0.16334848000000002,0.815625,0.7578725961538461,success,gradient,1.0,1000000,0.001,1e-06
