dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,tol
1D-gaussian-2c-32p,32,32,0.15517431216636016,422,6.969915405149923e-07,seconds,0.23642873764038086,0.12514554150402546,megabytes,544.0,544.0,11.0,11.0,0.231936,0.231936,0.36171875,0.36171875,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-32p,32,32,0.1577432223179368,317,6.51132846109823e-07,seconds,0.21921610832214355,0.09896845929324627,megabytes,544.0,544.0,0.0,0.0,0.231927808,0.231927808,0.29921875,0.29921875,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-32p,32,32,0.15902196840015997,388,9.50545631715852e-07,seconds,0.228118896484375,0.11701394990086555,megabytes,544.0,544.0,0.0,0.0,0.231940096,0.231940096,0.2921875,0.2921875,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-32p,32,32,0.1596191257706928,372,5.235352375416004e-07,seconds,0.22503328323364258,0.11189010925590992,megabytes,544.0,544.0,0.0,0.0,0.23191961600000002,0.23191961600000002,0.3,0.3,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-32p,32,32,0.1738398097792347,372,6.248646136474532e-07,seconds,0.21856403350830078,0.112945307046175,megabytes,544.0,544.0,0.0,0.0,0.231960576,0.231960576,0.30234375,0.30234375,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-32p,32,32,0.1631009452817955,284,9.736882093671905e-07,seconds,0.23780298233032227,0.0892000887542963,megabytes,544.0,544.0,37.0,37.0,0.231911424,0.231911424,0.1984375,0.1984375,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-32p,32,32,0.16919138557486635,289,3.259324787467829e-07,seconds,0.20841431617736816,0.09198439121246338,megabytes,544.0,544.0,39.0,39.0,0.23189504000000002,0.23189504000000002,0.26015625,0.26015625,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-32p,32,32,0.17081414213900462,331,7.927982877921881e-07,seconds,0.2232069969177246,0.10048225708305836,megabytes,544.0,544.0,43.0,43.0,0.23187865600000002,0.23187865600000002,0.25234375,0.25234375,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-32p,32,32,0.14491363350078335,415,9.65338838084399e-07,seconds,0.2250232696533203,0.12401634082198143,megabytes,544.0,544.0,33.0,33.0,0.23190323200000001,0.23190323200000001,0.38046875,0.38046875,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-32p,32,32,0.16003551440737995,291,9.58731078501851e-08,seconds,0.21503210067749023,0.09146126732230186,megabytes,544.0,544.0,30.0,30.0,0.231849984,0.231849984,0.21640625,0.21640625,success,lbfgs,1.0,100000,1e-06
