dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
2D-cauchy-vs-gaussian-32p,1024,1024,1.2055515341132714,11,8.135076457665361e-17,seconds,0.0,0.0073172347620129585,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-vs-gaussian-32p,1024,1024,0.7658631798407389,11,7.5673826858277e-17,seconds,0.0,0.014817693270742893,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-vs-gaussian-32p,1024,1024,0.9609989666800702,11,6.139860212226333e-17,seconds,0.0,0.016446718014776707,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-vs-gaussian-32p,1024,1024,0.955478379360932,11,7.931139896673981e-17,seconds,0.0,0.00432614516466856,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-vs-gaussian-32p,1024,1024,1.1081674716090766,11,7.543528888031231e-17,seconds,0.0,0.004504387266933918,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-vs-gaussian-32p,1024,1024,1.1885422225986018,11,8.587325170851092e-17,seconds,0.0,0.004216915927827358,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-vs-gaussian-32p,1024,1024,1.3003804654300923,11,8.478462055920724e-17,seconds,0.0,0.004848644137382507,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-vs-gaussian-32p,1024,1024,1.185423751546443,11,7.409860469948329e-17,seconds,0.0,0.004250635392963886,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-vs-gaussian-32p,1024,1024,1.2648541585272342,11,8.546323937608967e-17,seconds,0.0,0.0041389791294932365,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-vs-gaussian-32p,1024,1024,0.9289484294399537,11,9.477822873000565e-17,seconds,0.0,0.004110689274966717,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-vs-gaussian-32p,1024,1024,1.0411212634991798,11,7.579466251439977e-17,seconds,0.0,0.004314460791647434,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-vs-gaussian-32p,1024,1024,0.9881742728718382,11,7.389083842169144e-17,seconds,0.0,0.013689517974853516,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
