dataset,mu_size,nu_size,cost,time,iterations,error,status,name,reg,wasserstein_distance,kl_divergence,ssim,delta_e,colorfulness_diff,gradient_correlation,laplacian_sharpness_diff
a1499-dvf_075.jpg -> a1250-kme_041.jpg,1119,1119,0.5179543590922883,67.46834143996239,11,1.202129013000963e-08,success,sinkhorn,1.0,0.25501957638233025,4.2478123,0.5996644688426623,26.830235667212367,0.1684218748330934,0.7646534013865778,-52.741746117546214
a4288-DSC_0137.jpg -> a0457-NKIM_099.jpg,1469,893,0.5228970123518661,66.95057824254036,11,1.1516235830378214e-08,success,sinkhorn,1.0,0.39224893099419444,3.8687675,0.6503303912103008,31.56613690096376,0.1336528752467056,0.9056013367122504,-28.679351056076108
a3024-07-08-11-at-16h35m32s-N0000142.jpg -> a2140-dgw_021.jpg,709,456,0.640531224089029,64.76862262934446,11,1.675720908167051e-08,success,sinkhorn,1.0,0.2757420156622214,3.9402304,0.7614207373060266,20.69912477684954,0.13564799021509874,0.6639349452998864,-16.869849745273093
a1499-dvf_075.jpg -> a1250-kme_041.jpg,1119,1119,0.3071999977891093,1526.2785982340574,421,7.564243961170662e-07,success,sinkhorn,0.01,0.10222425234299602,1.5431957,0.5818310622051247,30.82643781758843,0.05042448631583643,0.5126457845490593,118.58123047206547
a4288-DSC_0137.jpg -> a0457-NKIM_099.jpg,1469,893,0.37975035359019216,597.2357010468841,161,6.93465540058381e-07,success,sinkhorn,0.01,0.13299202088066667,1.3927513,0.4985676634494356,38.500540061320855,0.03801602398570961,0.4174929300614764,922.8837625643472
a3024-07-08-11-at-16h35m32s-N0000142.jpg -> a2140-dgw_021.jpg,709,456,0.619482202193939,208.35784915834665,51,1.531556738727947e-07,success,sinkhorn,0.01,0.13477301591185148,2.2760744,0.49441956156343014,19.197796521302163,0.039705046454142495,0.3010628672966493,666.0672221263987
