dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,tol
2D-gauss-1c-16p,256,256,34.83863775319042,141,5.219053327409388e-07,0.0091580716878498,seconds,0.0,0.008902150206267834,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,187.35642500313926,91,3.3082144669828803e-07,0.0018451692381523518,seconds,0.0,0.006755146197974682,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,32.66272979451661,71,1.7303313260382106e-07,0.014981095809828038,seconds,0.0,0.00573375727981329,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,129.68063638662028,121,5.344074064339964e-07,0.0029151819016697824,seconds,0.0,0.007879223674535751,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,nan,11,nan,nan,seconds,0.0,0.003063899464905262,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,86.09179707411472,91,4.325463692127065e-07,0.003897272677221929,seconds,0.0,0.0065655820071697235,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,184.17437114489158,161,4.5931849917841327e-07,0.0018196116745026335,seconds,0.0,0.00980411283671856,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-2c-16p,256,256,159.95797158877454,311,9.74960770997482e-07,0.0014810731622155325,seconds,0.0,0.016782437451183796,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-2c-16p,256,256,63.18346344394196,331,8.380885863264088e-07,0.005605633220823698,seconds,0.0,0.017361294478178024,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-2c-16p,256,256,39.99214498239135,421,8.246574047710868e-07,0.004086789532335655,seconds,0.0,0.021561824716627598,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-2c-16p,256,256,101.39987875413709,651,8.730117088504729e-07,0.002383780975268913,seconds,0.23269891738891602,0.03176289051771164,megabytes,548.0,548.0,10.0,10.0,0.155078656,0.155078656,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-2c-16p,256,256,183.78183883023092,401,9.68389523946353e-07,0.0016432059700417102,seconds,0.2113637924194336,0.020657255314290524,megabytes,548.0,548.0,0.0,0.0,0.155086848,0.155086848,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-2c-16p,256,256,130.26897092906648,281,7.518352606569458e-07,0.001948388347708801,seconds,0.0,0.015112631022930145,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-2c-16p,256,256,87.88083916226682,1091,9.362969864002206e-07,0.002726475275410971,seconds,0.2423717975616455,0.05134336743503809,megabytes,548.0,548.0,0.0,0.0,0.154226688,0.154226688,0.0375,0.0375,success,sinkhorn,1.0,10000,1e-06
2D-gauss-2c-16p,256,256,24.00574390587039,1831,9.903758388113522e-07,0.013391828497407337,seconds,0.24541568756103516,0.08455335907638073,megabytes,548.0,548.0,11.0,11.0,0.15428403200000002,0.15428403200000002,0.15390625,0.15390625,success,sinkhorn,1.0,10000,1e-06
2D-gauss-2c-16p,256,256,85.94466841381961,1481,9.784436180215914e-07,0.0037186828400114164,seconds,0.2228703498840332,0.06893619894981384,megabytes,548.0,548.0,23.0,23.0,0.15429632000000001,0.15429632000000001,0.12578125,0.12578125,success,sinkhorn,1.0,10000,1e-06
2D-gauss-2c-16p,256,256,134.0420278653134,271,7.607663365672223e-07,0.0015184511585950998,seconds,0.0,0.014532426372170448,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-2c-16p,256,256,48.22723126395687,211,7.495883300275552e-07,0.005195332306885782,seconds,0.0,0.012008805759251118,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-2c-16p,256,256,166.65686534380467,221,5.240609348082604e-07,0.0016102577274482463,seconds,0.0,0.012347590178251266,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
